,Value,energy_type,sector,Year,Month
1,989.638,Primary Energy,Residential,2012,Jan
2,830.092,Primary Energy,Residential,2012,Feb
3,543.901,Primary Energy,Residential,2012,Mar
4,395.883,Primary Energy,Residential,2012,Apr
5,267.953,Primary Energy,Residential,2012,May
6,220.468,Primary Energy,Residential,2012,Jun
7,203.15,Primary Energy,Residential,2012,Jul
8,209.704,Primary Energy,Residential,2012,Aug
9,215.582,Primary Energy,Residential,2012,Sep
10,351.676,Primary Energy,Residential,2012,Oct
11,623.387,Primary Energy,Residential,2012,Nov
12,833.586,Primary Energy,Residential,2012,Dec
13,1100.62,Primary Energy,Residential,2013,Jan
14,955.937,Primary Energy,Residential,2013,Feb
15,861.392,Primary Energy,Residential,2013,Mar
16,518.288,Primary Energy,Residential,2013,Apr
17,312.58,Primary Energy,Residential,2013,May
18,226.967,Primary Energy,Residential,2013,Jun
19,211.726,Primary Energy,Residential,2013,Jul
20,214.55,Primary Energy,Residential,2013,Aug
21,228.185,Primary Energy,Residential,2013,Sep
22,342.054,Primary Energy,Residential,2013,Oct
23,674.106,Primary Energy,Residential,2013,Nov
24,1043.565,Primary Energy,Residential,2013,Dec
25,1272.039,Primary Energy,Residential,2014,Jan
26,1068.47,Primary Energy,Residential,2014,Feb
27,903.989,Primary Energy,Residential,2014,Mar
28,492.683,Primary Energy,Residential,2014,Apr
29,334.686,Primary Energy,Residential,2014,May
30,240.154,Primary Energy,Residential,2014,Jun
31,224.264,Primary Energy,Residential,2014,Jul
32,216.568,Primary Energy,Residential,2014,Aug
33,247.346,Primary Energy,Residential,2014,Sep
34,356.317,Primary Energy,Residential,2014,Oct
35,728.224,Primary Energy,Residential,2014,Nov
36,923.048,Primary Energy,Residential,2014,Dec
37,1177.964,Primary Energy,Residential,2015,Jan
38,1124.655,Primary Energy,Residential,2015,Feb
39,820.845,Primary Energy,Residential,2015,Mar
40,452.693,Primary Energy,Residential,2015,Apr
41,298.91,Primary Energy,Residential,2015,May
42,219.507,Primary Energy,Residential,2015,Jun
43,207.404,Primary Energy,Residential,2015,Jul
44,207.344,Primary Energy,Residential,2015,Aug
45,210.081,Primary Energy,Residential,2015,Sep
46,359.487,Primary Energy,Residential,2015,Oct
47,587.961,Primary Energy,Residential,2015,Nov
48,798.934,Primary Energy,Residential,2015,Dec
49,1091.218,Primary Energy,Residential,2016,Jan
50,874.475,Primary Energy,Residential,2016,Feb
51,609.867,Primary Energy,Residential,2016,Mar
52,462.517,Primary Energy,Residential,2016,Apr
53,312.797,Primary Energy,Residential,2016,May
54,219.234,Primary Energy,Residential,2016,Jun
55,205.115,Primary Energy,Residential,2016,Jul
56,192.338,Primary Energy,Residential,2016,Aug
57,211.29,Primary Energy,Residential,2016,Sep
58,314.696,Primary Energy,Residential,2016,Oct
59,526.484,Primary Energy,Residential,2016,Nov
60,1010.65,Primary Energy,Residential,2016,Dec
61,1040.96,Primary Energy,Residential,2017,Jan
62,743.251,Primary Energy,Residential,2017,Feb
63,749.895,Primary Energy,Residential,2017,Mar
64,408.727,Primary Energy,Residential,2017,Apr
65,313.796,Primary Energy,Residential,2017,May
66,229.964,Primary Energy,Residential,2017,Jun
67,202.984,Primary Energy,Residential,2017,Jul
68,204.819,Primary Energy,Residential,2017,Aug
69,215.293,Primary Energy,Residential,2017,Sep
70,324.955,Primary Energy,Residential,2017,Oct
71,628.232,Primary Energy,Residential,2017,Nov
72,1035.717,Primary Energy,Residential,2017,Dec
73,1248.453,Primary Energy,Residential,2018,Jan
74,886.633,Primary Energy,Residential,2018,Feb
75,856.123,Primary Energy,Residential,2018,Mar
76,610.996,Primary Energy,Residential,2018,Apr
77,293.216,Primary Energy,Residential,2018,May
78,229.135,Primary Energy,Residential,2018,Jun
79,215.129,Primary Energy,Residential,2018,Jul
80,205.208,Primary Energy,Residential,2018,Aug
81,221.413,Primary Energy,Residential,2018,Sep
82,410.433,Primary Energy,Residential,2018,Oct
83,800.217,Primary Energy,Residential,2018,Nov
84,1006.248,Primary Energy,Residential,2018,Dec
85,1215.209,Primary Energy,Residential,2019,Jan
86,1034.994,Primary Energy,Residential,2019,Feb
87,906.23,Primary Energy,Residential,2019,Mar
88,485.602,Primary Energy,Residential,2019,Apr
89,351.377,Primary Energy,Residential,2019,May
90,248.805,Primary Energy,Residential,2019,Jun
91,230.822,Primary Energy,Residential,2019,Jul
92,230.848,Primary Energy,Residential,2019,Aug
93,223.347,Primary Energy,Residential,2019,Sep
94,376.593,Primary Energy,Residential,2019,Oct
95,797.553,Primary Energy,Residential,2019,Nov
96,988.959,Primary Energy,Residential,2019,Dec
97,1043.21,Primary Energy,Residential,2020,Jan
98,934.525,Primary Energy,Residential,2020,Feb
99,705.824,Primary Energy,Residential,2020,Mar
100,537.883,Primary Energy,Residential,2020,Apr
101,384.072,Primary Energy,Residential,2020,May
102,252.315,Primary Energy,Residential,2020,Jun
103,226.049,Primary Energy,Residential,2020,Jul
104,214.097,Primary Energy,Residential,2020,Aug
105,241.492,Primary Energy,Residential,2020,Sep
106,379.165,Primary Energy,Residential,2020,Oct
107,599.015,Primary Energy,Residential,2020,Nov
108,1009.463,Primary Energy,Residential,2020,Dec
109,1126.047,Primary Energy,Residential,2021,Jan
110,1106.623,Primary Energy,Residential,2021,Feb
111,769.855,Primary Energy,Residential,2021,Mar
112,499.873,Primary Energy,Residential,2021,Apr
113,357.965,Primary Energy,Residential,2021,May
114,249.602,Primary Energy,Residential,2021,Jun
115,226.647,Primary Energy,Residential,2021,Jul
116,215.724,Primary Energy,Residential,2021,Aug
117,235.408,Primary Energy,Residential,2021,Sep
118,332.027,Primary Energy,Residential,2021,Oct
119,657.747,Primary Energy,Residential,2021,Nov
120,873.03,Primary Energy,Residential,2021,Dec
121,1221.437,Primary Energy,Residential,2022,Jan
122,1036.778,Primary Energy,Residential,2022,Feb
123,801.428,Primary Energy,Residential,2022,Mar
124,561.432,Primary Energy,Residential,2022,Apr
125,346.159,Primary Energy,Residential,2022,May
126,253.247,Primary Energy,Residential,2022,Jun
127,234.158,Primary Energy,Residential,2022,Jul
128,220.695,Primary Energy,Residential,2022,Aug
129,1419.145,End-Use Energy,Residential,2012,Jan
130,1198.504,End-Use Energy,Residential,2012,Feb
131,882.923,End-Use Energy,Residential,2012,Mar
132,696.491,End-Use Energy,Residential,2012,Apr
133,612.207,End-Use Energy,Residential,2012,May
134,639.92,End-Use Energy,Residential,2012,Jun
135,730.574,End-Use Energy,Residential,2012,Jul
136,714.479,End-Use Energy,Residential,2012,Aug
137,621.034,End-Use Energy,Residential,2012,Sep
138,681.512,End-Use Energy,Residential,2012,Oct
139,954.88,End-Use Energy,Residential,2012,Nov
140,1223.194,End-Use Energy,Residential,2012,Dec
141,1550.27,End-Use Energy,Residential,2013,Jan
142,1341.882,End-Use Energy,Residential,2013,Feb
143,1243.866,End-Use Energy,Residential,2013,Mar
144,844.274,End-Use Energy,Residential,2013,Apr
145,637.374,End-Use Energy,Residential,2013,May
146,629.522,End-Use Energy,Residential,2013,Jun
147,702.558,End-Use Energy,Residential,2013,Jul
148,685.628,End-Use Energy,Residential,2013,Aug
149,642.467,End-Use Energy,Residential,2013,Sep
150,679.477,End-Use Energy,Residential,2013,Oct
151,1008.154,End-Use Energy,Residential,2013,Nov
152,1483.597,End-Use Energy,Residential,2013,Dec
153,1771.936,End-Use Energy,Residential,2014,Jan
154,1506.828,End-Use Energy,Residential,2014,Feb
155,1293.752,End-Use Energy,Residential,2014,Mar
156,807.575,End-Use Energy,Residential,2014,Apr
157,661.305,End-Use Energy,Residential,2014,May
158,642.938,End-Use Energy,Residential,2014,Jun
159,691.803,End-Use Energy,Residential,2014,Jul
160,680.019,End-Use Energy,Residential,2014,Aug
161,659.315,End-Use Energy,Residential,2014,Sep
162,690.821,End-Use Energy,Residential,2014,Oct
163,1067.669,End-Use Energy,Residential,2014,Nov
164,1335.219,End-Use Energy,Residential,2014,Dec
165,1648.018,End-Use Energy,Residential,2015,Jan
166,1547.189,End-Use Energy,Residential,2015,Feb
167,1220.619,End-Use Energy,Residential,2015,Mar
168,760.453,End-Use Energy,Residential,2015,Apr
169,623.597,End-Use Energy,Residential,2015,May
170,629.97,End-Use Energy,Residential,2015,Jun
171,705.687,End-Use Energy,Residential,2015,Jul
172,700.429,End-Use Energy,Residential,2015,Aug
173,638.002,End-Use Energy,Residential,2015,Sep
174,698.466,End-Use Energy,Residential,2015,Oct
175,904.178,End-Use Energy,Residential,2015,Nov
176,1179.953,End-Use Energy,Residential,2015,Dec
177,1538.093,End-Use Energy,Residential,2016,Jan
178,1270.129,End-Use Energy,Residential,2016,Feb
179,951.84,End-Use Energy,Residential,2016,Mar
180,763.607,End-Use Energy,Residential,2016,Apr
181,634.2,End-Use Energy,Residential,2016,May
182,646.455,End-Use Energy,Residential,2016,Jun
183,731.96,End-Use Energy,Residential,2016,Jul
184,726.117,End-Use Energy,Residential,2016,Aug
185,652.676,End-Use Energy,Residential,2016,Sep
186,661.041,End-Use Energy,Residential,2016,Oct
187,844.633,End-Use Energy,Residential,2016,Nov
188,1424.46,End-Use Energy,Residential,2016,Dec
189,1481.833,End-Use Energy,Residential,2017,Jan
190,1087.755,End-Use Energy,Residential,2017,Feb
191,1101.657,End-Use Energy,Residential,2017,Mar
192,718.279,End-Use Energy,Residential,2017,Apr
193,649.131,End-Use Energy,Residential,2017,May
194,648.081,End-Use Energy,Residential,2017,Jun
195,714.444,End-Use Energy,Residential,2017,Jul
196,689.347,End-Use Energy,Residential,2017,Aug
197,620.566,End-Use Energy,Residential,2017,Sep
198,675.746,End-Use Energy,Residential,2017,Oct
199,963.701,End-Use Energy,Residential,2017,Nov
200,1451.997,End-Use Energy,Residential,2017,Dec
201,1756.559,End-Use Energy,Residential,2018,Jan
202,1274.752,End-Use Energy,Residential,2018,Feb
203,1221.952,End-Use Energy,Residential,2018,Mar
204,936.684,End-Use Energy,Residential,2018,Apr
205,647.546,End-Use Energy,Residential,2018,May
206,672.398,End-Use Energy,Residential,2018,Jun
207,739.097,End-Use Energy,Residential,2018,Jul
208,728.938,End-Use Energy,Residential,2018,Aug
209,661.253,End-Use Energy,Residential,2018,Sep
210,775.684,End-Use Energy,Residential,2018,Oct
211,1154.348,End-Use Energy,Residential,2018,Nov
212,1426.54,End-Use Energy,Residential,2018,Dec
213,1670.088,End-Use Energy,Residential,2019,Jan
214,1432.861,End-Use Energy,Residential,2019,Feb
215,1290.44,End-Use Energy,Residential,2019,Mar
216,793.992,End-Use Energy,Residential,2019,Apr
217,693.707,End-Use Energy,Residential,2019,May
218,658.641,End-Use Energy,Residential,2019,Jun
219,755.413,End-Use Energy,Residential,2019,Jul
220,742.931,End-Use Energy,Residential,2019,Aug
221,672.253,End-Use Energy,Residential,2019,Sep
222,745.08,End-Use Energy,Residential,2019,Oct
223,1147.123,End-Use Energy,Residential,2019,Nov
224,1402.077,End-Use Energy,Residential,2019,Dec
225,1467.807,End-Use Energy,Residential,2020,Jan
226,1317.088,End-Use Energy,Residential,2020,Feb
227,1061.542,End-Use Energy,Residential,2020,Mar
228,871.437,End-Use Energy,Residential,2020,Apr
229,744.655,End-Use Energy,Residential,2020,May
230,701.123,End-Use Energy,Residential,2020,Jun
231,796.222,End-Use Energy,Residential,2020,Jul
232,756.397,End-Use Energy,Residential,2020,Aug
233,677.627,End-Use Energy,Residential,2020,Sep
234,739.179,End-Use Energy,Residential,2020,Oct
235,939.058,End-Use Energy,Residential,2020,Nov
236,1452.207,End-Use Energy,Residential,2020,Dec
237,1593.925,End-Use Energy,Residential,2021,Jan
238,1539.844,End-Use Energy,Residential,2021,Feb
239,1160.278,End-Use Energy,Residential,2021,Mar
240,821.205,End-Use Energy,Residential,2021,Apr
241,704.278,End-Use Energy,Residential,2021,May
242,702.83,End-Use Energy,Residential,2021,Jun
243,756.616,End-Use Energy,Residential,2021,Jul
244,757.042,End-Use Energy,Residential,2021,Aug
245,685.327,End-Use Energy,Residential,2021,Sep
246,688.856,End-Use Energy,Residential,2021,Oct
247,1002.462,End-Use Energy,Residential,2021,Nov
248,1275.935,End-Use Energy,Residential,2021,Dec
249,1701.143,End-Use Energy,Residential,2022,Jan
250,1467.475,End-Use Energy,Residential,2022,Feb
251,1184.606,End-Use Energy,Residential,2022,Mar
252,897.341,End-Use Energy,Residential,2022,Apr
253,723.124,End-Use Energy,Residential,2022,May
254,720.88,End-Use Energy,Residential,2022,Jun
255,797.567,End-Use Energy,Residential,2022,Jul
256,769.939,End-Use Energy,Residential,2022,Aug
257,2288.469,Total,Residential,2012,Jan
258,1922.942,Total,Residential,2012,Feb
259,1555.297,Total,Residential,2012,Mar
260,1290.309,Total,Residential,2012,Apr
261,1340.055,Total,Residential,2012,May
262,1508.728,Total,Residential,2012,Jun
263,1836.14,Total,Residential,2012,Jul
264,1722.618,Total,Residential,2012,Aug
265,1395.757,Total,Residential,2012,Sep
266,1329.517,Total,Residential,2012,Oct
267,1634.454,Total,Residential,2012,Nov
268,2052.172,Total,Residential,2012,Dec
269,2455.465,Total,Residential,2013,Jan
270,2087.734,Total,Residential,2013,Feb
271,2014.592,Total,Residential,2013,Mar
272,1488.318,Total,Residential,2013,Apr
273,1312.459,Total,Residential,2013,May
274,1468.943,Total,Residential,2013,Jun
275,1707.576,Total,Residential,2013,Jul
276,1634.544,Total,Residential,2013,Aug
277,1434.685,Total,Residential,2013,Sep
278,1338.602,Total,Residential,2013,Oct
279,1705.465,Total,Residential,2013,Nov
280,2405.096,Total,Residential,2013,Dec
281,2808.412,Total,Residential,2014,Jan
282,2351.29,Total,Residential,2014,Feb
283,2086.369,Total,Residential,2014,Mar
284,1424.186,Total,Residential,2014,Apr
285,1339.505,Total,Residential,2014,May
286,1478.654,Total,Residential,2014,Jun
287,1645.887,Total,Residential,2014,Jul
288,1616.232,Total,Residential,2014,Aug
289,1428.555,Total,Residential,2014,Sep
290,1331.478,Total,Residential,2014,Oct
291,1773.932,Total,Residential,2014,Nov
292,2164.807,Total,Residential,2014,Dec
293,2580.929,Total,Residential,2015,Jan
294,2377.381,Total,Residential,2015,Feb
295,1972.902,Total,Residential,2015,Mar
296,1344.384,Total,Residential,2015,Apr
297,1290.396,Total,Residential,2015,May
298,1466.241,Total,Residential,2015,Jun
299,1712.66,Total,Residential,2015,Jul
300,1666.388,Total,Residential,2015,Aug
301,1434.699,Total,Residential,2015,Sep
302,1328.016,Total,Residential,2015,Oct
303,1525.757,Total,Residential,2015,Nov
304,1922.859,Total,Residential,2015,Dec
305,2424.517,Total,Residential,2016,Jan
306,2003.172,Total,Residential,2016,Feb
307,1589.631,Total,Residential,2016,Mar
308,1342.11,Total,Residential,2016,Apr
309,1278.117,Total,Residential,2016,May
310,1511.27,Total,Residential,2016,Jun
311,1795.383,Total,Residential,2016,Jul
312,1750.524,Total,Residential,2016,Aug
313,1458.755,Total,Residential,2016,Sep
314,1309.835,Total,Residential,2016,Oct
315,1453.555,Total,Residential,2016,Nov
316,2269.472,Total,Residential,2016,Dec
317,2345.103,Total,Residential,2017,Jan
318,1730.556,Total,Residential,2017,Feb
319,1791.49,Total,Residential,2017,Mar
320,1309.744,Total,Residential,2017,Apr
321,1316.979,Total,Residential,2017,May
322,1463.766,Total,Residential,2017,Jun
323,1721.174,Total,Residential,2017,Jul
324,1598.033,Total,Residential,2017,Aug
325,1362.79,Total,Residential,2017,Sep
326,1335.691,Total,Residential,2017,Oct
327,1618.332,Total,Residential,2017,Nov
328,2296.68,Total,Residential,2017,Dec
329,2738.256,Total,Residential,2018,Jan
330,1979,Total,Residential,2018,Feb
331,1914.661,Total,Residential,2018,Mar
332,1549.655,Total,Residential,2018,Apr
333,1359.16,Total,Residential,2018,May
334,1536.813,Total,Residential,2018,Jun
335,1753.69,Total,Residential,2018,Jul
336,1702.715,Total,Residential,2018,Aug
337,1458.006,Total,Residential,2018,Sep
338,1429.842,Total,Residential,2018,Oct
339,1852.506,Total,Residential,2018,Nov
340,2240.379,Total,Residential,2018,Dec
341,2537.209,Total,Residential,2019,Jan
342,2156.565,Total,Residential,2019,Feb
343,2003.211,Total,Residential,2019,Mar
344,1362.254,Total,Residential,2019,Apr
345,1356.625,Total,Residential,2019,May
346,1434.645,Total,Residential,2019,Jun
347,1734.627,Total,Residential,2019,Jul
348,1678.478,Total,Residential,2019,Aug
349,1466.542,Total,Residential,2019,Sep
350,1375.009,Total,Residential,2019,Oct
351,1809.29,Total,Residential,2019,Nov
352,2164.098,Total,Residential,2019,Dec
353,2236.462,Total,Residential,2020,Jan
354,2006.136,Total,Residential,2020,Feb
355,1688.827,Total,Residential,2020,Mar
356,1457.349,Total,Residential,2020,Apr
357,1426.381,Total,Residential,2020,May
358,1540.802,Total,Residential,2020,Jun
359,1839.725,Total,Residential,2020,Jul
360,1749.432,Total,Residential,2020,Aug
361,1417.989,Total,Residential,2020,Sep
362,1369.633,Total,Residential,2020,Oct
363,1563.931,Total,Residential,2020,Nov
364,2268.177,Total,Residential,2020,Dec
365,2463.553,Total,Residential,2021,Jan
366,2356.65,Total,Residential,2021,Feb
367,1858.594,Total,Residential,2021,Mar
368,1398.038,Total,Residential,2021,Apr
369,1359.245,Total,Residential,2021,May
370,1565.036,Total,Residential,2021,Jun
371,1738.362,Total,Residential,2021,Jul
372,1755.954,Total,Residential,2021,Aug
373,1458.684,Total,Residential,2021,Sep
374,1315.721,Total,Residential,2021,Oct
375,1650.01,Total,Residential,2021,Nov
376,2033.795,Total,Residential,2021,Dec
377,2642.549,Total,Residential,2022,Jan
378,2253.102,Total,Residential,2022,Feb
379,1872.75,Total,Residential,2022,Mar
380,1498.196,Total,Residential,2022,Apr
381,1447.13,Total,Residential,2022,May
