,text,neg,neu,pos,compound
0,"Is It Hot Enough for You?: Global Warming Heats Up (24/7: Behind the Headlines Special Editions) J0EYHMH

https://t.co/MTwOW2rmQ1 https://t.co/QUTJDnOURF",0.0,0.798,0.202,0.5106
1,RT @ACCIONA_EN: Climate change denial has gone from rejecting scientific evidence to dodging taking urgent measures to halt global warming…,0.099,0.764,0.137,0.1779
2,"RT @BillSparow1: @QuentinDempster How good is Global Warming 
The world has warmed 1 degree C in the last 170 years. 
Climate death rate ha…",0.114,0.712,0.174,0.34
3,"RT @TomTSEC: Due to global warming, it is currently -31C in Edmonton Alberta.",0.096,0.739,0.165,0.4588
5,@TomTSEC They changed it to Climate Change now to cover hot and cold. Global Warming wasn’t selling.,0.072,0.749,0.179,0.802
6,@TIME Also noone cares about global warming. https://t.co/tCyVHm9Nnd,0.058,0.754,0.188,0.9246
8,"RT @tan123: For your copy/paste pleasure, here is some stuff that I like to say/tweet: 
CO2 is *not* the climate control knob.  It’s a poli…",0.041,0.789,0.17,0.9638
9,"RT @tan123: For your copy/paste pleasure, here is some stuff that I like to say/tweet: 
CO2 is *not* the climate control knob.  It’s a poli…",0.039,0.779,0.181,0.9716
10,"@Ingrown_nail @chair_this @Breaking911 I'm so old I remember when ""climate change"" was called ""global warming"". They had to pivot once we reached 2020 and Miami wasn't at the bottom of the ocean though.",0.045,0.788,0.167,0.9692
11,@juniperjadey The only global warming that’s acceptable,0.049,0.795,0.156,0.9672
13,"RT @ogwausa: Will these 50-million-year-old mummies survive the ""climate crisis""?

Should you stop contributing to your 401k?

Tune in next…",0.049,0.803,0.148,0.9676
15,"ORGANIZED FAMINE: Germany Orders Farmers to Slash Fertilizer After Dutch Government Shuts Down 3,000 Farms to Comply with Global Warming Goals https://t.co/bN33icvd8F via @gatewaypundit",0.044,0.818,0.138,0.97
16,RT @JunkScience: November NASA satellite data in... still no warming since 2015... despite ~400 billion tons of manmade emissions and ~14%…,0.043,0.817,0.14,0.9721
17,"RT @wef: The 1.5°C global warming limit is still within grasp – here's how we can reach it #COP27 #Climate 

https://t.co/dR31Z6t4aE",0.039,0.828,0.133,0.9752
18,"RT @emungai_m: As a result of #climatechange, water is becoming more scarce in more places. In already water-stressed areas, global warming…",0.038,0.83,0.132,0.9768
19,"RT @TomTSEC: Due to global warming, it is currently -31C in Edmonton Alberta.",0.037,0.831,0.132,0.9782
20,Can’t beat a bit of global warming https://t.co/hap4zhZzCy,0.035,0.829,0.136,0.9824
21,"@MatthewWielicki @TheDisproof You mean YOU don't really understand clouds?
Perhaps you could learn from scientists who do the research?
eg

""Observational evidence that cloud feedback amplifies global warming"" (2021)

https://t.co/AfajMyj7Yl

Discussed:

https://t.co/PnTsJutBGi",0.034,0.831,0.135,0.984
22,"RT @TomTSEC: Due to global warming, it is currently -31C in Edmonton Alberta.",0.045,0.811,0.145,0.9866
23,"RT @keisfangs: #MHASpoilers #MHA374 #BNHA374 

not the todorokis causing global warming https://t.co/ylIW0tbajc",0.045,0.816,0.139,0.9868
24,"@Fleic_ My art is like global warming, getting hotter and piercing the ozone layer *ba-da tsssssss*",0.043,0.814,0.144,0.9905
25,RT @yourdrunkbuddy: @scottie1479 @BjornLomborg @JonahDispatch Irrelevant. The propoganda the warmers make is that the polar bear population…,0.041,0.82,0.139,0.9906
26,"@ZLabe @gcarbonproject Well, no matter how many beautiful graphics you show, the central tenent is still missing:

NO warming can be derived from a trace gas 

Thusly we can conclude that global warming and cooling stems from energy composition in earth’s surroundings

THE SUN/COSMOS

NOT humans https://t.co/qUR3aO1dWE",0.038,0.828,0.135,0.9921
27,"@MatthewWielicki Try 50 years. Is tall remember the oncoming ice age in the 70s, closely followed by global warming, ozone layer depletion etc. anything to screw governments funding “climate science “",0.04,0.826,0.134,0.9921
29,"RT @tan123: For your copy/paste pleasure, here is some stuff that I like to say/tweet: 
CO2 is *not* the climate control knob.  It’s a poli…",0.045,0.852,0.103,0.9459
30,"RT @constantin_t: 💎 “No one has ever shown that human emissions of #CO2 drives global warming!” - Australian Geologist, Professor #IanPlime…",0.058,0.84,0.102,0.8634
31,"@TheDisproof @MatthewWielicki @Palaeo3D It if funny that a job you get paid to do that relies solely on climate change being real, that everything you put out points to ""Global warming"" meanwhile past historical records of the actual climate are being rewritten or deleted all being ""Homogenized"" to suit an agenda",0.068,0.83,0.102,-0.4607
32,"RT @LionHearted76: The Green Agenda is Insane
🚨Oxfordshire City Council in England just approved a trial Climate Lockdown in 2024

To ‘save…",0.067,0.828,0.105,0.5311
33,"RT @Dad_At_Law: First voicemail, next up, global warming and then war. These kids are dead set on eliminating all of the world’s worst evil…",0.066,0.829,0.105,0.6517
34,@JamesMelville Would you have him ride a horse?  I doubt his plane travel is what's caused the catastrophe that is global warming.  But I guess you've nothing of substance to share.  Carry on.,0.064,0.83,0.106,0.7373
35,"@JustinTrudeau Stop allowing missiles to wreck atmosphere day in and day out! How much damage to oceans, to our planet, with bombs. North Korea and any country deciding to shooting of missiles, should pay carbon tax, a billion per inch. That’s the true cause of global warming. Grow trees notwar",0.068,0.826,0.106,0.5758
36,@TomTSEC @BlogerPisarz It's the worst kind of global warming with no symptoms🤡.,0.064,0.823,0.113,0.9444
37,global warming pls come thru🙏 https://t.co/n4AikdzIiZ,0.062,0.824,0.113,0.9579
38,"RT @Tony40335450: @BernieSpofforth @joseyrobins Global Warming? Northern Hemisphere Snow Cover At 56-Year High.

Most mainstream media outl…",0.061,0.821,0.119,0.977
39,"RT @TomTSEC: Due to global warming, it is currently -31C in Edmonton Alberta.",0.067,0.818,0.115,0.9565
40,RT @tealswag: nene accidentally accelerates global warming. asked to leave the theme park #prsk_FA #emunene https://t.co/j8SoXTw97d,0.075,0.811,0.115,0.8977
41,"@jrpsaki @WhiteHouse Awesome. 
Democrat control always makes America a better place for working people. 
Open borders, $4 a gallon gas, mandated vaccines, transgender theology, males in female locker rooms, global warming equity, &amp; endless mail in ballot harvesting. 
Who could ask for more.",0.073,0.812,0.115,0.9286
42,"@RealUtahMan @BjornLomborg The evidence is that humans are causing the current global warming, which is much more rapid than previous warming in the geological past. https://t.co/NPzsWwBplN",0.072,0.812,0.116,0.9392
43,"RT @4TR4iN: Simps who still believe in global warming should spend a  winter in Saskatchewan.

-45 C with wind chill tonight.

Thank God th…",0.07,0.816,0.114,0.9476
44,"""People still voted, so that means voter suppression doesn't exist"" is the ""it snowed in November, so that means there's no global warming"" of election-related political statements.

It's completely ignorant and ignores that systems contain multitudes. https://t.co/BaTWaiJRVO",0.069,0.816,0.114,0.9545
45,Global Warming is a total ass crack sandwich. Today is Pearl Harbour day &amp; I’m now off to cut some firewood for the elderly parents. Yup they’re ok yoday but had the fire going yesterday,0.067,0.82,0.113,0.9617
46,"RT @acamara0728: @easternair355 Never did.

Climate changes, constantly.

Ice Age, to warmer weather and after sometime  iceage again

This…",0.071,0.817,0.112,0.9244
47,"RT @TomTSEC: Due to global warming, it is currently -31C in Edmonton Alberta.",0.073,0.807,0.12,0.9686
48,"I shouldn't quote Kipling's If at the ABC's apostle, Paul Barry as he might wet his pants.
Andrew Bolt hits back at 'global warming crusader' Media Watch's Paul Barry https://t.co/KByCsZVWuI",0.075,0.805,0.12,0.9625
49,"@GBNEWS I've decided to believe in global warming now.....
Can I have some?",0.074,0.802,0.124,0.9763
50,"@KevinDewane @dandelafe Exactly; science controlled by the stock market . 
Doesn’t heat affect sex in chicks at birth?  If global warming  is real we will need some electrical air conditioning system to have less cocks i assume !?",0.073,0.805,0.122,0.9775
51,"@KellyCraftKY So does solar, wind, hydro-electric, and nuclear, all without increasing global warming and killing people.",0.072,0.805,0.123,0.9795
52,"RT @BigCityAndrew: ""Shut up and sit down... Global warming is the greatest fraud perpetrated on humanity"".

*explicit language* 

Wow this…",0.071,0.807,0.121,0.9795
53,"RT @UN: ❌Myth: A few degrees of global warming are not a big deal. 

✅Fact: Every bit of warming worsens the impacts of the climate crisis…",0.077,0.802,0.121,0.9688
54,@CNN Finally some good news re: global warming?,0.077,0.802,0.122,0.9721
55,"RT @mtaibbi: I wonder how many people in relationships have tried the “I don’t want kids, but only because of global warming” line, and act…",0.083,0.795,0.122,0.9228
56,"RT @TomTSEC: Due to global warming, it is currently -31C in Edmonton Alberta.",0.082,0.79,0.128,0.9739
57,RT @KnKsnksm0: Global warming… err cooling.. warming.. cooling.. warming.. cooling https://t.co/gGdoITCiNj,0.081,0.791,0.128,0.9764
58,@kylenabecker Since it's inception in Ancient Greece politics and corruption has always been questioned. Rebranding Global Warming and predictions that don't come true don't help with climate deniers. Scientists have always decried other scientists work until proven right or wrong. So??????,0.082,0.792,0.126,0.971
59,@Xx17965797N Global Warming at it again.,0.08,0.793,0.127,0.9816
60,those who cannot condemn the past are doomed to repeat is is something @billieeilish would say during a global warming crisis meeting.,0.081,0.792,0.128,0.9819
61,@TomTSEC -35 this morning with the wind -45. I had high hopes for global warming looks like it’s another pipe dream,0.085,0.789,0.125,0.9576
62,"RT @TomTSEC: Due to global warming, it is currently -31C in Edmonton Alberta.",0.083,0.789,0.127,0.9748
63,"RT @ogwausa: Will these 50-million-year-old mummies survive the ""climate crisis""?

Should you stop contributing to your 401k?

Tune in next…",0.083,0.79,0.127,0.9772
64,The Oxfordshire Council in England is to trial  a climate lockdown starting in 2024. Planning to lock residents in one of the 6 zones to save the planet from global warming.,0.081,0.792,0.127,0.9793
65,"RT @LionHearted76: The Green Agenda is Insane
🚨Oxfordshire City Council in England just approved a trial Climate Lockdown in 2024

To ‘save…",0.083,0.791,0.126,0.9752
66,"RT @MGSchmelzer: Instead of relying on untested and potentially dangerous negative emission technologies that might not work at scale, the…",0.081,0.791,0.127,0.9827
67,@david_rooke_ @BjornLomborg There is plenty of evidence. The current global warming is much faster than previous warming periods in geological time. It can't be dismissed as natural variation. https://t.co/NPzsWwBplN,0.081,0.789,0.13,0.9875
68,"RT @TomTSEC: Due to global warming, it is currently -31C in Edmonton Alberta.",0.082,0.788,0.13,0.9877
70,"RT @coolbrookcole: @easternair355 Never did. It was the new ice age coming till it was global warming. Because if CO2. Which, of course, is…",0.085,0.786,0.129,0.9812
71,you know global warming is real when you're still finding stink bugs in your bedroom in december,0.084,0.785,0.131,0.9867
72,@Breaking911 It's interesting how these on-air medical emergencies are being normalized. Never saw that until the last couple of years. Maybe it's global warming?,0.083,0.786,0.131,0.9876
73,Some Good Global Warming Comments  🤔 https://t.co/31oXk7JcPW,0.083,0.787,0.129,0.9856
74,"RT @LionHearted76: The Green Agenda is Insane
🚨Oxfordshire City Council in England just approved a trial Climate Lockdown in 2024

To ‘save…",0.083,0.784,0.133,0.991
75,"RT @constantin_t: 💎 “No one has ever shown that human emissions of #CO2 drives global warming!” - Australian Geologist, Professor #IanPlime…",0.081,0.781,0.138,0.995
76,"1/2 Let’s assume that Global warming is happening. It’s not, but let’s assume it is and it is as dire as you can possibly imagine. 

Why is YOUR solution a Global-Tax-Ponzi-Casino-Gulag? 

Why is YOUR solution a Global System of SLAVERY? 

Why not #Liberty?",0.082,0.779,0.139,0.9956
77,"RT @CoachBalto: Global warming is coming for your cars, not those bicyclist wanting protected bike lanes.  https://t.co/JvgZcCZrH2",0.081,0.777,0.141,0.9967
80,RT @CanadaGray: @TomTSEC Due to global warming it is +7 in Toronto....yep just weather that means nothing about climate.,0.082,0.778,0.14,0.9968
82,"RT @ogwausa: Will these 50-million-year-old mummies survive the ""climate crisis""?

Should you stop contributing to your 401k?

Tune in next…",0.081,0.779,0.14,0.9972
83,"Shut up and listen. Given the scale of issues like global warming and epidemic disease, we shouldn't underestimate the importance of a can-do attitude to science rather than a can't-afford-it attitude. Die soon",0.08,0.78,0.14,0.9973
84,"@charlruto Can I join your campaign, I have an advanced degree  in converting carbon dioxide to chemical fuels using nanotechnology to mitigation global warming and climate change. I will be grateful for the opportunity.",0.081,0.779,0.14,0.9971
86,"Countries have spent decades and billions of dollars on infrastructure and technology that aids the production of renewable energy. We are here to help Pakistan pick up the pace and win the fight against global warming.

#BigChief #SolarPower #GoSolar #SaveThePlanet #Pakistan https://t.co/Gpqvbh70cg",0.084,0.777,0.138,0.9965
87,"@BoVanston @TomTSEC Well, it was -16 deg F (-27 deg C) 10 days ago in Willow, AK in November. So you can shove your global warming in Anchorage when it's now SNOWING (= milder temp.)
Try to impress someone else in the lower 48 with your melting glaciers!",0.085,0.775,0.14,0.997
88,"RT @babyyakira: Fck me if I’m wrong , but global warming isn’t real https://t.co/aaTZunpk7g",0.084,0.775,0.14,0.9971
89,"RT @ogwausa: Will these 50-million-year-old mummies survive the ""climate crisis""?

Should you stop contributing to your 401k?

Tune in next…",0.086,0.775,0.14,0.9967
90,"@LeeTheCryptoKn1 @CBCNews The warmer it gets the nicer Canada will get, more C02 the bigger plants get that release more oxygen. Global warming can’t be stopped if the planet wants to heat up its not humans doing it one volcano eruption will dwarf all of human output",0.085,0.774,0.141,0.9971
91,"RT @constantin_t: 💎 “No one has ever shown that human emissions of #CO2 drives global warming!” - Australian Geologist, Professor #IanPlime…",0.086,0.774,0.14,0.9969
92,"RT @CoachBalto: Global warming is coming for your cars, not those bicyclist wanting protected bike lanes.  https://t.co/JvgZcCZrH2",0.087,0.771,0.142,0.997
93,"RT @TomTSEC: Due to global warming, it is currently -31C in Edmonton Alberta.",0.087,0.771,0.142,0.9971
94,Without that global warming .....Edmonton would have been in  trouble ..... https://t.co/y2MW9pmx7B,0.086,0.772,0.142,0.9972
95,"RT @constantin_t: 💎 “No one has ever shown that human emissions of #CO2 drives global warming!” - Australian Geologist, Professor #IanPlime…",0.086,0.771,0.143,0.9976
96,@Merica_81 Babe we have to save the world by getting more boosters and I just donated the rest of our savings to fight the war in Ukraine. Ps global warming is trumps fault just confirmed. Knew it.,0.085,0.77,0.145,0.998
97,"@GregorMacdonald Renewables going fwd have cost benefits which everyone is interested in. Renewables 2010-20 &amp; earlier were mostly driven by ideology (global warming concerns), not economics.  Non-buyers incl the many that disagreed with the ideology or agreed with it but refused the higher cost",0.084,0.77,0.147,0.9984
98,Global Warming To Activate Zombie Viruses https://t.co/gklcXpxem9,0.083,0.772,0.145,0.9984
99,"RT @thehealthb0t: Spraying the skies with sulfate particles (chemtrails) will destroy the planet faster than ""global warming"" ever could.",0.082,0.771,0.147,0.9985
100,"Is It Hot Enough for You?: Global Warming Heats Up (24/7: Behind the Headlines Special Editions) J0EYHMH

https://t.co/MTwOW2rmQ1 https://t.co/QUTJDnOURF",0.083,0.772,0.145,0.9985
101,RT @ACCIONA_EN: Climate change denial has gone from rejecting scientific evidence to dodging taking urgent measures to halt global warming…,0.083,0.772,0.145,0.9984
102,"RT @BillSparow1: @QuentinDempster How good is Global Warming 
The world has warmed 1 degree C in the last 170 years. 
Climate death rate ha…",0.083,0.773,0.144,0.9984
103,"RT @TomTSEC: Due to global warming, it is currently -31C in Edmonton Alberta.",0.083,0.773,0.144,0.9984
105,@TomTSEC They changed it to Climate Change now to cover hot and cold. Global Warming wasn’t selling.,0.082,0.776,0.143,0.9985
106,@TIME Also noone cares about global warming. https://t.co/tCyVHm9Nnd,0.081,0.775,0.143,0.9985
108,"RT @tan123: For your copy/paste pleasure, here is some stuff that I like to say/tweet: 
CO2 is *not* the climate control knob.  It’s a poli…",0.08,0.778,0.142,0.9986
109,"RT @tan123: For your copy/paste pleasure, here is some stuff that I like to say/tweet: 
CO2 is *not* the climate control knob.  It’s a poli…",0.08,0.778,0.142,0.9986
110,"@Ingrown_nail @chair_this @Breaking911 I'm so old I remember when ""climate change"" was called ""global warming"". They had to pivot once we reached 2020 and Miami wasn't at the bottom of the ocean though.",0.079,0.778,0.143,0.9987
111,@juniperjadey The only global warming that’s acceptable,0.078,0.779,0.143,0.9988
113,"RT @ogwausa: Will these 50-million-year-old mummies survive the ""climate crisis""?

Should you stop contributing to your 401k?

Tune in next…",0.08,0.776,0.144,0.9989
115,"ORGANIZED FAMINE: Germany Orders Farmers to Slash Fertilizer After Dutch Government Shuts Down 3,000 Farms to Comply with Global Warming Goals https://t.co/bN33icvd8F via @gatewaypundit",0.078,0.777,0.145,0.999
116,RT @JunkScience: November NASA satellite data in... still no warming since 2015... despite ~400 billion tons of manmade emissions and ~14%…,0.077,0.779,0.144,0.9991
117,"RT @wef: The 1.5°C global warming limit is still within grasp – here's how we can reach it #COP27 #Climate 

https://t.co/dR31Z6t4aE",0.078,0.778,0.144,0.9991
118,"RT @emungai_m: As a result of #climatechange, water is becoming more scarce in more places. In already water-stressed areas, global warming…",0.082,0.775,0.143,0.9988
119,"RT @TomTSEC: Due to global warming, it is currently -31C in Edmonton Alberta.",0.084,0.773,0.143,0.9986
120,Can’t beat a bit of global warming https://t.co/hap4zhZzCy,0.086,0.772,0.142,0.9984
121,"@MatthewWielicki @TheDisproof You mean YOU don't really understand clouds?
Perhaps you could learn from scientists who do the research?
eg

""Observational evidence that cloud feedback amplifies global warming"" (2021)

https://t.co/AfajMyj7Yl

Discussed:

https://t.co/PnTsJutBGi",0.089,0.77,0.141,0.9982
122,"RT @TomTSEC: Due to global warming, it is currently -31C in Edmonton Alberta.",0.088,0.769,0.142,0.9982
123,"RT @keisfangs: #MHASpoilers #MHA374 #BNHA374 

not the todorokis causing global warming https://t.co/ylIW0tbajc",0.088,0.77,0.142,0.9983
124,"@Fleic_ My art is like global warming, getting hotter and piercing the ozone layer *ba-da tsssssss*",0.087,0.771,0.142,0.9983
125,RT @yourdrunkbuddy: @scottie1479 @BjornLomborg @JonahDispatch Irrelevant. The propoganda the warmers make is that the polar bear population…,0.088,0.77,0.142,0.9982
126,"@ZLabe @gcarbonproject Well, no matter how many beautiful graphics you show, the central tenent is still missing:

NO warming can be derived from a trace gas 

Thusly we can conclude that global warming and cooling stems from energy composition in earth’s surroundings

THE SUN/COSMOS

NOT humans https://t.co/qUR3aO1dWE",0.087,0.77,0.143,0.9986
127,"@MatthewWielicki Try 50 years. Is tall remember the oncoming ice age in the 70s, closely followed by global warming, ozone layer depletion etc. anything to screw governments funding “climate science “",0.086,0.771,0.143,0.9987
129,"RT @tan123: For your copy/paste pleasure, here is some stuff that I like to say/tweet: 
CO2 is *not* the climate control knob.  It’s a poli…",0.087,0.77,0.143,0.9987
130,"RT @constantin_t: 💎 “No one has ever shown that human emissions of #CO2 drives global warming!” - Australian Geologist, Professor #IanPlime…",0.089,0.769,0.142,0.9985
131,"@TheDisproof @MatthewWielicki @Palaeo3D It if funny that a job you get paid to do that relies solely on climate change being real, that everything you put out points to ""Global warming"" meanwhile past historical records of the actual climate are being rewritten or deleted all being ""Homogenized"" to suit an agenda",0.089,0.769,0.142,0.9986
132,"RT @LionHearted76: The Green Agenda is Insane
🚨Oxfordshire City Council in England just approved a trial Climate Lockdown in 2024

To ‘save…",0.088,0.77,0.142,0.9986
133,"RT @Dad_At_Law: First voicemail, next up, global warming and then war. These kids are dead set on eliminating all of the world’s worst evil…",0.087,0.771,0.142,0.9986
134,@JamesMelville Would you have him ride a horse?  I doubt his plane travel is what's caused the catastrophe that is global warming.  But I guess you've nothing of substance to share.  Carry on.,0.087,0.771,0.142,0.9987
135,"@JustinTrudeau Stop allowing missiles to wreck atmosphere day in and day out! How much damage to oceans, to our planet, with bombs. North Korea and any country deciding to shooting of missiles, should pay carbon tax, a billion per inch. That’s the true cause of global warming. Grow trees notwar",0.086,0.773,0.141,0.9987
136,@TomTSEC @BlogerPisarz It's the worst kind of global warming with no symptoms🤡.,0.087,0.772,0.14,0.9985
137,global warming pls come thru🙏 https://t.co/n4AikdzIiZ,0.088,0.769,0.143,0.9988
138,"RT @Tony40335450: @BernieSpofforth @joseyrobins Global Warming? Northern Hemisphere Snow Cover At 56-Year High.

Most mainstream media outl…",0.088,0.769,0.143,0.9987
139,"RT @TomTSEC: Due to global warming, it is currently -31C in Edmonton Alberta.",0.088,0.768,0.144,0.9988
140,RT @tealswag: nene accidentally accelerates global warming. asked to leave the theme park #prsk_FA #emunene https://t.co/j8SoXTw97d,0.088,0.769,0.143,0.9988
141,"@jrpsaki @WhiteHouse Awesome. 
Democrat control always makes America a better place for working people. 
Open borders, $4 a gallon gas, mandated vaccines, transgender theology, males in female locker rooms, global warming equity, &amp; endless mail in ballot harvesting. 
Who could ask for more.",0.087,0.77,0.143,0.9989
142,"@RealUtahMan @BjornLomborg The evidence is that humans are causing the current global warming, which is much more rapid than previous warming in the geological past. https://t.co/NPzsWwBplN",0.087,0.77,0.143,0.9989
143,"RT @4TR4iN: Simps who still believe in global warming should spend a  winter in Saskatchewan.

-45 C with wind chill tonight.

Thank God th…",0.089,0.769,0.142,0.9988
144,"""People still voted, so that means voter suppression doesn't exist"" is the ""it snowed in November, so that means there's no global warming"" of election-related political statements.

It's completely ignorant and ignores that systems contain multitudes. https://t.co/BaTWaiJRVO",0.089,0.769,0.142,0.9988
145,Global Warming is a total ass crack sandwich. Today is Pearl Harbour day &amp; I’m now off to cut some firewood for the elderly parents. Yup they’re ok yoday but had the fire going yesterday,0.091,0.767,0.142,0.9985
146,"RT @acamara0728: @easternair355 Never did.

Climate changes, constantly.

Ice Age, to warmer weather and after sometime  iceage again

This…",0.09,0.765,0.144,0.9988
147,"RT @TomTSEC: Due to global warming, it is currently -31C in Edmonton Alberta.",0.09,0.766,0.144,0.9988
148,"I shouldn't quote Kipling's If at the ABC's apostle, Paul Barry as he might wet his pants.
Andrew Bolt hits back at 'global warming crusader' Media Watch's Paul Barry https://t.co/KByCsZVWuI",0.09,0.766,0.144,0.9988
149,"@GBNEWS I've decided to believe in global warming now.....
Can I have some?",0.089,0.767,0.144,0.9989
